key,category,occupation,v19_base_income_man,v20_potential_income_man,income_uplift_pct,v19_retirement_age,v20_retirement_age,retirement_extension_years
aiEngineer,IT・研究・クリエイティブ,AIエンジニア,600,850,41.7,67,70,3
software,IT・研究・クリエイティブ,ITエンジニア,450,600,33.3,67,69,2
creative,IT・研究・クリエイティブ,デザイナー・編集・ライター,300,420,40.0,67,70,3
productData,IT・研究・クリエイティブ,プロダクト・データ・IT専門職,550,750,36.4,67,69,2
foreignTech,IT・研究・クリエイティブ,外資IT（GAFA系・RSU込み）,800,1100,37.5,67,69,2
mangaArtist,IT・研究・クリエイティブ,漫画家・イラストレーター,240,360,50.0,70,72,2
researcher,IT・研究・クリエイティブ,研究者・大学教員,400,560,40.0,70,73,3
slotProfessional,ギャンブルプロ,スロット専業,300,360,20.0,60,63,3
professionalGambler,ギャンブルプロ,プロギャンブラー（競馬・スポーツベット等）,300,400,33.3,65,67,2
pokerOnline,ギャンブルプロ,ポーカー専業（オンライン）,350,450,28.6,65,67,2
pokerLive,ギャンブルプロ,ポーカー専業（ライブ）,350,450,28.6,65,67,2
pilot,会社員・公共・サービス,パイロット,900,1200,33.3,67,68,1
listedGeneral,会社員・公共・サービス,上場企業 一般社員,400,520,30.0,65,67,2
listedManager,会社員・公共・サービス,上場企業 管理職・高度専門職,700,900,28.6,65,67,2
sme,会社員・公共・サービス,中小企業 事務・営業職,300,390,30.0,65,67,2
childcare,会社員・公共・サービス,保育士,260,340,30.8,65,68,3
public,会社員・公共・サービス,公務員,350,470,34.3,65,67,2
bureaucrat,会社員・公共・サービス,官僚（キャリア）,450,650,44.4,70,72,2
cabinCrew,会社員・公共・サービス,客室乗務員（CA）,350,450,28.6,65,67,2
service,会社員・公共・サービス,小売・飲食・宿泊・介護サービス,260,335,28.8,65,68,3
teacher,会社員・公共・サービス,教師,350,480,37.1,65,68,3
beautician,会社員・公共・サービス,美容師,240,320,33.3,70,72,2
skilled,会社員・公共・サービス,製造・建設・物流・技能職,320,410,28.1,65,68,3
nonRegular,会社員・公共・サービス,非正規雇用,180,250,38.9,65,67,2
accountant,医療・士業,会計士・税理士,450,620,37.8,70,72,2
doctor,医療・士業,医師,900,1200,33.3,70,73,3
lawyer,医療・士業,弁護士,500,700,40.0,70,72,2
dentist,医療・士業,歯科医師,500,700,40.0,70,72,2
nurse,医療・士業,看護師,400,520,30.0,67,69,2
medicalSpecialist,医療・士業,薬剤師・医療専門職,380,520,36.8,67,69,2
clubOwner,夜職,クラブママ・夜職経営,500,700,40.0,70,75,5
host,夜職,ホスト,300,450,50.0,65,60,-5
hostess,夜職,ラウンジ嬢・ホステス・キャバクラ,300,450,50.0,65,60,-5
nightlifeFreelance,夜職,港区フリーランス,280,400,42.9,65,57,-8
sexWorker,夜職,風俗,350,500,42.9,65,58,-7
homemaker,生活・無業,専業主婦・主夫,350,500,42.9,75,80,5
unemployed,生活・無業,無職・ニート,0,0,,65,65,0
angelInvestor,経営・独立,エンジェル投資家・連続起業家,500,750,50.0,75,78,3
founder,経営・独立,スタートアップ起業家,300,500,66.7,70,73,3
monk,経営・独立,僧侶・宗教家,250,350,40.0,80,85,5
businessOwner,経営・独立,安定事業の経営者・自営業,350,500,42.9,70,75,5
politician,経営・独立,政治家,600,850,41.7,100,100,0
reseller,経営・独立,転売ヤー・せどり,300,400,33.3,70,70,0
farmerFisher,経営・独立,農家・漁師,300,400,33.3,75,78,3
freelancer,経営・独立,高スキルフリーランス,350,500,42.9,70,73,3
influencer,芸能・スポーツ,YouTuber・配信者・VTuber,200,300,50.0,65,65,0
comedian,芸能・スポーツ,お笑い芸人,120,180,50.0,70,72,2
proGamer,芸能・スポーツ,プロゲーマー・eスポーツ,200,280,40.0,60,43,-17
athlete,芸能・スポーツ,プロスポーツ選手,400,600,50.0,65,45,-20
boardGamePro,芸能・スポーツ,プロ棋士・プロ雀士,300,450,50.0,75,78,3
entertainment,芸能・スポーツ,俳優・タレント・音楽家,240,360,50.0,65,68,3
sumo,芸能・スポーツ,力士,300,420,40.0,65,40,-25
voiceActor,芸能・スポーツ,声優,180,270,50.0,70,72,2
traditionalActor,芸能・スポーツ,歌舞伎役者・伝統芸能,400,600,50.0,80,85,5
boatCycleRacer,芸能・スポーツ,競艇・競輪選手,600,800,33.3,60,63,3
fund,金融・コンサル,ヘッジファンド・PE,1200,1800,50.0,65,67,2
fullTimeTrader,金融・コンサル,専業トレーダー・仮想通貨,400,550,37.5,65,67,2
consultant,金融・コンサル,戦略・総合・ITコンサルタント,600,850,41.7,67,69,2
investmentBank,金融・コンサル,投資銀行・マーケット・トレーダー,1000,1500,50.0,65,67,2
bankFinance,金融・コンサル,銀行・証券・保険,450,600,33.3,65,67,2
